,Unnamed: 0,SECTEUR,SOUS-SECTEUR,CIBLE,AGE-MIN,AGE-MAX,NOM,ADRESSE,LATITUDE,LONGITUDE,MAIL,TELEPHONE,LIEN,Longitude,Latitude,Adresse
32,32,ACCUEILS ALTERNATIFS,,ENFANT,,,ETABLISSEMENT POUR ENFANTS ET ADOLESCENTS POLYHANDICAPES (EEAP) COSTE ROUSSE,"43, AVENUE DES BARONNES 34730 PRADES LE LEZ",,,,04 67 59 52 50,,3.872655,43.693229,"43 Avenue des Baronnes, 34730 Prades-le-Lez"
33,33,ACCUEILS ALTERNATIFS,,ENFANT,,,INSTITUT DEDUCATION MOTRICE (IEM) ALEXANDRE JOLLIEN,"8, PLACE GENERAL DE GAULLE 34240 LAMALOU LES BAINS",,,,04 67 95 75 30,,3.07754,43.605773,"8 Place du General de Gaulle, 34240 Lamalou-les-Bains"
34,34,ACCUEILS ALTERNATIFS,,ENFANT,,,INSTITUT DEDUCATION MOTRICE (IEM) LA CARDABELLE,"21, AVENUE DE CASTELNAU 34090 MONTPELLIER",,,,04 67 72 42 62,,3.882597,43.621463,"21 Avenue de Castelnau, 34090 Montpellier"
35,35,ACCUEILS ALTERNATIFS,,ENFANT,,,LES ATELIERS DE BENTENAC,ROUTE DES CABANES 34130 MAUGUIO,,,,04 67 29 52 45,,4.01968,43.593582,"Route des Cabanes, 34130 Mauguio"
36,36,ACCUEILS ALTERNATIFS,,ENFANT,,,SAFEP ET SAAAIS DE LA FEDERATION DES AVEUGLES ET AMBLYOPES DE FRANCE-LR (FAF-LR),"420, ALLEE HENRI II DE MONTMORENCY 34000 MONTPELLIER",,,,04 67 50 50 60,,3.888402,43.610155,"420 Allée Henri II de Montmorency, 34000 Montpellier"
37,37,ACCUEILS ALTERNATIFS,,ENFANT,,,SAFEP ET SSEFIS DE LASSOCIATION REGIONALE POUR LINTEGRATION ET LEDUCATION DES DEFICIENTS AUDITIFS (ARIEDA),2446 AVENUE DU PERE SOULAS 34090 MONTPELLIER,,,,04 99 23 27 70,,3.844029,43.629626,"2446 Avenue du Père Soulas, 34090 Montpellier"
38,38,ACCUEILS ALTERNATIFS,,ENFANT,,,SAFEP ET SSEFIS DU CENTRE DEDUCATION SPECIALISEE POUR DEFICIENTS AUDITIFS (CESDA 34),"14, RUE SAINT VINCENT DE PAUL 34090 MONTPELLIER",,,,04 67 02 99 00,,3.875509,43.621278,"14 Rue Saint Vincent de Paul, 34090 Montpellier"
39,39,ACCUEILS ALTERNATIFS,,ENFANT,,,SAFEP ET SSEFIS DU CENTRE DE REEDUCATION DE LOUIE ET DE LA PAROLE (CROP PAUL BOUVIER),"24, ROUTE DALES BP7 30170 SAINT HIPPOLYTE DU FORT""",,,,04 66 77 22 06,,3.868235,43.964517,"24 Route d'Ales, 30170 Saint-Hippolyte-du-Fort"
40,40,ULIS,,ENFANT,,,SESSAD BOREAL,CENTRE EDUCATIF ET MEDICAL  AVENUE MONSEIGNEUR COSTE 34500 BEZIERS,,,,04 67 31 73 30,,3.251712,43.34269,"Avenue Monseigneur Coste, 34500 Béziers"
41,41,ULIS,,ENFANT,,,SESSAD DE LAGATHOIS,CHEMIN RAYMOND FAGES 34300 AGDE,,,,04 67 77 00 01,,3.483299,43.295653,"Chemin Raymond Fages, 34300 Agde"
42,42,ULIS,,ENFANT,,,SESSAD DE LA MAISON DE SOL-N,"40, RUE DE LA MARGERIDE - BAT A 34760 BOUJAN SUR LIBRON",,,,04 67 90 63 81,,3.254753,43.366289,"40 Rue de la Margeride, 34760 Boujan-sur-Libron"
43,43,ULIS,,ENFANT,,,SESSAD DU CENTRE BOURNEVILLE,"120, RUE DU MAS PRUNET 34070 MONTPELLIER",,,,04 67 42 43 66,,3.833975,43.599346,"120 Rue du Mas de Prunet, 34070 Montpellier"
44,44,ULIS,,ENFANT,,,SESSAD EOLE,CENTRE EDUCATIF ET MEDICAL AVENUE MONSEIGNEUR COSTE 34500 BEZIERS,,,,04 67 31 73 30,,3.251712,43.34269,"Avenue Monseigneur Coste, 34500 Béziers"
45,45,ULIS,,ENFANT,,,SESSAD FONTCAUDE,"70, RUE TIPASA 34080 MONTPELLIER",,,,04 67 10 23 00,,3.816671,43.629068,"70 Rue de Tipasa, 34080 Montpellier"
